"id","description","last_updated"
"2341222","Mozzarella cheese, tomato, and basil, with oil and vinegar dressing","2022-10-03"
"2341223","Cheddar cheese soup, home recipe, canned or ready-to-serve","2022-10-03"
"2341224","Meat, NFS","2022-10-03"
"2341225","Meat, ground, NFS","2022-10-03"
"2341226","Baby Toddler meat, NFS","2022-10-03"
"2341227","Beef, NFS","2022-10-03"
"2341228","Steak, NS as to type of meat, NS as to fat eaten","2022-10-03"
"2341229","Beef, steak, NFS","2022-10-03"
"2341230","Beef, steak, chuck","2022-10-03"
"2341231","Beef, steak, cube","2022-10-03"
"2341232","Beef, steak, flank","2022-10-03"
"2341233","Beef, steak, ribeye, NS as to fat eaten","2022-10-03"
"2341234","Beef, steak, ribeye, lean and fat eaten","2022-10-03"
"2341235","Beef, steak, ribeye, lean only eaten","2022-10-03"
"2341236","Beef, steak, round","2022-10-03"
"2341237","Beef, steak, sirloin, NS as to fat eaten","2022-10-03"
"2341238","Beef, steak, sirloin, lean and fat eaten","2022-10-03"
"2341239","Beef, steak, sirloin, lean only eaten","2022-10-03"
"2341240","Beef, steak, strip, NS as to fat eaten","2022-10-03"
"2341241","Beef, steak, strip, lean and fat eaten","2022-10-03"
"2341242","Beef, steak, strip, lean only eaten","2022-10-03"
"2341243","Beef, steak, T-bone, NS as to fat eaten","2022-10-03"
"2341244","Beef, steak, T-bone,  lean and fat eaten","2022-10-03"
"2341245","Beef, steak, T-bone, lean only eaten","2022-10-03"
"2341246","Beef, steak, tenderloin","2022-10-03"
"2341247","Beef, steak, country fried","2022-10-03"
"2341248","Beef, oxtails","2022-10-03"
"2341249","Beef, neck bones","2022-10-03"
"2341250","Beef, shortribs","2022-10-03"
"2341251","Beef, cow head","2022-10-03"
"2341252","Beef, roast","2022-10-03"
"2341253","Beef, pot roast","2022-10-03"
"2341254","Beef, stew meat","2022-10-03"
"2341255","Beef, corned","2022-10-03"
"2341256","Beef, brisket","2022-10-03"
"2341257","Beef, sandwich steak","2022-10-03"
"2341258","Beef, ground, raw","2022-10-03"
"2341259","Beef, ground","2022-10-03"
"2341260","Beef, ground, patty","2022-10-03"
"2341261","Beef, bacon, cooked","2022-10-03"
"2341262","Beef, bacon, reduced sodium, cooked","2022-10-03"
"2341263","Beef, dried, chipped, uncooked","2022-10-03"
"2341264","Beef, dried, chipped, cooked in fat","2022-10-03"
"2341265","Beef jerky","2022-10-03"
"2341266","Baby Toddler beef","2022-10-03"
"2341267","Pork, NFS","2022-10-03"
"2341268","Pork, ground","2022-10-03"
"2341269","Pork, carnitas","2022-10-03"
"2341270","Pork jerky","2022-10-03"
"2341271","Pork, chop, NS as to fat eaten","2022-10-03"
"2341272","Pork, chop, lean and fat eaten","2022-10-03"
"2341273","Pork, chop, lean only eaten","2022-10-03"
"2341274","Pork, chop, coated, NS as to fat eaten","2022-10-03"
"2341275","Pork, chop, coated, lean and fat eaten","2022-10-03"
"2341276","Pork, chop, coated, lean only eaten","2022-10-03"
"2341277","Pork, chop, stuffed","2022-10-03"
"2341278","Pork, steak, NS as to fat eaten","2022-10-03"
"2341279","Pork, steak, lean and fat eaten","2022-10-03"
"2341280","Pork, steak, lean only eaten","2022-10-03"
"2341281","Pork, steak, coated","2022-10-03"
"2341282","Pork, tenderloin","2022-10-03"
"2341283","Ham","2022-10-03"
"2341284","Ham, prosciutto","2022-10-03"
"2341285","Ham, canned","2022-10-03"
"2341286","Ham, ground","2022-10-03"
"2341287","Pork, roast","2022-10-03"
"2341288","Fried pork chunks, Puerto Rican style","2022-10-03"
"2341289","Pork, roll","2022-10-03"
"2341290","Canadian bacon, cooked","2022-10-03"
"2341291","Bacon, NS as to type of meat, cooked","2022-10-03"
"2341292","Bacon, NS as to type of meat, reduced sodium, cooked","2022-10-03"
"2341293","Pork bacon, NS as to fresh, smoked or cured, cooked","2022-10-03"
"2341294","Pork bacon, NS as to fresh, smoked or cured, reduced sodium, cooked","2022-10-03"
"2341295","Pork bacon, smoked or cured, cooked","2022-10-03"
"2341296","Bacon or side pork, fresh, cooked","2022-10-03"
"2341297","Pork bacon, smoked or cured, reduced sodium, cooked","2022-10-03"
"2341298","Fat back, cooked","2022-10-03"
"2341299","Ribs, NFS","2022-10-03"
"2341300","Pork, ribs","2022-10-03"
"2341301","Pork, cracklings","2022-10-03"
"2341302","Pork, ears","2022-10-03"
"2341303","Pork, bones","2022-10-03"
"2341304","Pork, pig's feet","2022-10-03"
"2341305","Pork, pig's feet, pickled","2022-10-03"
"2341306","Pork, ham hocks","2022-10-03"
"2341307","Pork, belly","2022-10-03"
"2341308","Pork skin rinds","2022-10-03"
"2341309","Baby Toddler ham","2022-10-03"
"2341310","Baby Toddler meat stick","2022-10-03"
"2341311","Lamb, NS as to cut","2022-10-03"
"2341312","Lamb, chop","2022-10-03"
"2341313","Lamb, ground","2022-10-03"
"2341314","Goat","2022-10-03"
"2341315","Veal, chop","2022-10-03"
"2341316","Veal, ground","2022-10-03"
"2341317","Mock chicken legs","2022-10-03"
"2341318","Rabbit","2022-10-03"
"2341319","Venison, NFS","2022-10-03"
"2341320","Venison, steak","2022-10-03"
"2341321","Venison/deer jerky","2022-10-03"
"2341322","Venison sausage","2022-10-03"
"2341323","Moose","2022-10-03"
"2341324","Bear","2022-10-03"
"2341325","Caribou","2022-10-03"
"2341326","Bison","2022-10-03"
"2341327","Groundhog","2022-10-03"
"2341328","Opossum","2022-10-03"
"2341329","Squirrel","2022-10-03"
"2341330","Beaver","2022-10-03"
"2341331","Raccoon","2022-10-03"
"2341332","Armadillo","2022-10-03"
"2341333","Wild pig","2022-10-03"
"2341334","Ostrich","2022-10-03"
"2341335","Chicken, NS as to part and cooking method, NS as to skin eaten","2022-10-03"
"2341336","Chicken, NS as to part and cooking method, skin eaten","2022-10-03"
"2341337","Chicken, NS as to part and cooking method, skin not eaten","2022-10-03"
"2341338","Chicken, NS as to part, baked, broiled, or roasted, NS as to skin eaten","2022-10-03"
"2341339","Chicken, NS as to part, baked, broiled, or roasted, skin eaten","2022-10-03"
"2341340","Chicken, NS as to part, baked, broiled, or roasted, skin not eaten","2022-10-03"
"2341341","Chicken, NS as to part, rotisserie, NS as to skin eaten","2022-10-03"
"2341342","Chicken, NS as to part, rotisserie, skin eaten","2022-10-03"
"2341343","Chicken, NS as to part, rotisserie, skin not eaten","2022-10-03"
"2341344","Chicken, NS as to part, stewed, NS as to skin eaten","2022-10-03"
"2341345","Chicken, NS as to part, stewed, skin eaten","2022-10-03"
"2341346","Chicken, NS as to part, stewed, skin not eaten","2022-10-03"
"2341347","Chicken, NS as to part, grilled without sauce, NS as to skin eaten","2022-10-03"
"2341348","Chicken, NS as to part, grilled without sauce, skin eaten","2022-10-03"
"2341349","Chicken, NS as to part, grilled without sauce, skin not eaten","2022-10-03"
"2341350","Chicken, NS as to part, grilled with sauce, NS as to skin eaten","2022-10-03"
"2341351","Chicken, NS as to part, grilled with sauce, skin eaten","2022-10-03"
"2341352","Chicken, NS as to part, grilled with sauce, skin not eaten","2022-10-03"
"2341353","Chicken, NS as to part, sauteed, skin eaten","2022-10-03"
"2341354","Chicken, NS as to part, sauteed, skin not eaten","2022-10-03"
"2341355","Chicken, NS as to part, fried, coated, skin / coating eaten","2022-10-03"
"2341356","Chicken, NS as to part, fried, coated, skin / coating not eaten","2022-10-03"
"2341357","Chicken, NS as to part, baked, coated, skin / coating eaten","2022-10-03"
"2341358","Chicken, NS as to part, baked, coated, skin / coating not eaten","2022-10-03"
"2341359","Chicken breast, NS as to cooking method, skin eaten","2022-10-03"
"2341360","Chicken breast, NS as to cooking method, skin not eaten","2022-10-03"
"2341361","Chicken breast, baked, broiled, or roasted, skin eaten, from raw","2022-10-03"
"2341362","Chicken breast, baked, broiled, or roasted, skin not eaten, from raw","2022-10-03"
"2341363","Chicken breast, baked or broiled, skin eaten, from pre-cooked","2022-10-03"
"2341364","Chicken breast, baked or broiled, skin not eaten, from pre-cooked","2022-10-03"
"2341365","Chicken breast, baked or broiled, skin eaten, from fast food / restaurant","2022-10-03"
"2341366","Chicken breast, baked or broiled, skin not eaten, from fast food / restaurant","2022-10-03"
"2341367","Chicken breast, baked, broiled, or roasted with marinade, skin eaten, from raw","2022-10-03"
"2341368","Chicken breast, baked, broiled, or roasted with marinade, skin not eaten, from raw","2022-10-03"
"2341369","Chicken breast, rotisserie, skin eaten","2022-10-03"
"2341370","Chicken breast, rotisserie, skin not eaten","2022-10-03"
"2341371","Chicken breast, stewed, skin eaten","2022-10-03"
"2341372","Chicken breast, stewed, skin not eaten","2022-10-03"
"2341373","Chicken breast, grilled without sauce, skin eaten","2022-10-03"
"2341374","Chicken breast, grilled without sauce, skin not eaten","2022-10-03"
"2341375","Chicken breast, grilled with sauce, skin eaten","2022-10-03"
"2341376","Chicken breast, grilled with sauce, skin not eaten","2022-10-03"
"2341377","Chicken breast, sauteed, skin eaten","2022-10-03"
"2341378","Chicken breast, sauteed, skin not eaten","2022-10-03"
"2341379","Chicken breast, fried, coated, skin / coating eaten, from raw","2022-10-03"
"2341380","Chicken breast, fried, coated, skin / coating not eaten, from raw","2022-10-03"
"2341381","Chicken breast, fried, coated, prepared skinless, coating eaten, from raw","2022-10-03"
"2341382","Chicken breast, fried, coated, skin / coating eaten, from pre-cooked","2022-10-03"
"2341383","Chicken breast, fried, coated, skin / coating not eaten, from pre-cooked","2022-10-03"
"2341384","Chicken breast, fried, coated, skin / coating eaten, from fast food / restaurant","2022-10-03"
"2341385","Chicken breast, fried, coated, skin / coating not eaten, from fast food / restaurant","2022-10-03"
"2341386","Chicken breast, baked, coated, skin / coating eaten","2022-10-03"
"2341387","Chicken breast, baked, coated, skin / coating not eaten","2022-10-03"
"2341388","Chicken leg, drumstick and thigh, NS as to cooking method, skin eaten","2022-10-03"
"2341389","Chicken leg, drumstick and thigh, NS as to cooking method, skin not eaten","2022-10-03"
"2341390","Chicken leg, drumstick and thigh, baked or broiled, skin eaten","2022-10-03"
"2341391","Chicken leg, drumstick and thigh, baked or broiled, skin not eaten","2022-10-03"
"2341392","Chicken leg, drumstick and thigh, rotisserie, skin eaten","2022-10-03"
"2341393","Chicken leg, drumstick and thigh, rotisserie, skin not eaten","2022-10-03"
"2341394","Chicken leg, drumstick and thigh, stewed, skin eaten","2022-10-03"
"2341395","Chicken leg, drumstick and thigh, stewed, skin not eaten","2022-10-03"
"2341396","Chicken leg, drumstick and thigh, grilled without sauce, skin eaten","2022-10-03"
"2341397","Chicken leg, drumstick and thigh, grilled without sauce, skin not eaten","2022-10-03"
"2341398","Chicken leg, drumstick and thigh, grilled with sauce, skin eaten","2022-10-03"
"2341399","Chicken leg, drumstick and thigh, grilled with sauce, skin not eaten","2022-10-03"
"2341400","Chicken leg, drumstick and thigh, sauteed, skin eaten","2022-10-03"
"2341401","Chicken leg, drumstick and thigh, sauteed, skin not eaten","2022-10-03"
"2341402","Chicken leg, drumstick and thigh, fried, coated, skin / coating eaten","2022-10-03"
"2341403","Chicken leg, drumstick and thigh, fried, coated, skin / coating not eaten","2022-10-03"
"2341404","Chicken leg, drumstick and thigh, baked, coated, skin / coating eaten","2022-10-03"
"2341405","Chicken leg, drumstick and thigh, baked, coated, skin / coating not eaten","2022-10-03"
"2341406","Chicken drumstick, NS as to cooking method, skin eaten","2022-10-03"
"2341407","Chicken drumstick, NS as to cooking method, skin not eaten","2022-10-03"
"2341408","Chicken drumstick, baked, broiled, or roasted, skin eaten, from raw","2022-10-03"
"2341409","Chicken drumstick, baked, broiled, or roasted, skin not eaten, from raw","2022-10-03"
"2341410","Chicken drumstick, baked or broiled, skin eaten, from pre-cooked","2022-10-03"
"2341411","Chicken drumstick, baked or broiled, skin not eaten, from pre-cooked","2022-10-03"
"2341412","Chicken drumstick, baked or broiled, skin eaten, from fast food / restaurant","2022-10-03"
"2341413","Chicken drumstick, baked or broiled, skin not eaten, from fast food / restaurant","2022-10-03"
"2341414","Chicken drumstick, rotisserie, skin eaten","2022-10-03"
"2341415","Chicken drumstick, rotisserie, skin not eaten","2022-10-03"
"2341416","Chicken drumstick, grilled without sauce, skin eaten","2022-10-03"
"2341417","Chicken drumstick, grilled without sauce, skin not eaten","2022-10-03"
"2341418","Chicken drumstick, grilled with sauce, skin eaten","2022-10-03"
"2341419","Chicken drumstick, grilled with sauce, skin not eaten","2022-10-03"
"2341420","Chicken drumstick, stewed, skin eaten","2022-10-03"
"2341421","Chicken drumstick, stewed, skin not eaten","2022-10-03"
"2341422","Chicken drumstick, sauteed, skin eaten","2022-10-03"
"2341423","Chicken drumstick, sauteed, skin not eaten","2022-10-03"
"2341424","Chicken drumstick, fried, coated, skin / coating eaten, from raw","2022-10-03"
"2341425","Chicken drumstick, fried, coated, skin / coating not eaten, from raw","2022-10-03"
"2341426","Chicken drumstick, fried, coated, prepared skinless, coating eaten, from raw","2022-10-03"
"2341427","Chicken drumstick, fried, coated, skin / coating eaten, from pre-cooked","2022-10-03"
"2341428","Chicken drumstick, fried, coated, skin / coating not eaten, from pre-cooked","2022-10-03"
"2341429","Chicken drumstick, fried, coated, skin / coating eaten, from fast food / restaurant","2022-10-03"
"2341430","Chicken drumstick, fried, coated, skin / coating not eaten, from fast food / restaurant","2022-10-03"
"2341431","Chicken drumstick, baked, coated, skin / coating eaten","2022-10-03"
"2341432","Chicken drumstick, baked, coated, skin / coating not eaten","2022-10-03"
"2341433","Chicken thigh, NS as to cooking method, skin eaten","2022-10-03"
"2341434","Chicken thigh, NS as to cooking method, skin not eaten","2022-10-03"
"2341435","Chicken thigh, baked, broiled, or roasted, skin eaten, from raw","2022-10-03"
"2341436","Chicken thigh, baked, broiled, or roasted, skin not eaten, from raw","2022-10-03"
"2341437","Chicken thigh, baked or broiled, skin eaten, from pre-cooked","2022-10-03"
"2341438","Chicken thigh, baked or broiled, skin not eaten, from pre-cooked","2022-10-03"
"2341439","Chicken thigh, baked or broiled, skin eaten, from fast food / restaurant","2022-10-03"
"2341440","Chicken thigh, baked or broiled, skin not eaten, from fast food / restaurant","2022-10-03"
"2341441","Chicken thigh, rotisserie, skin eaten","2022-10-03"
"2341442","Chicken thigh, rotisserie, skin not eaten","2022-10-03"
"2341443","Chicken thigh, stewed, skin eaten","2022-10-03"
"2341444","Chicken thigh, stewed, skin not eaten","2022-10-03"
"2341445","Chicken thigh, grilled without sauce, skin eaten","2022-10-03"
"2341446","Chicken thigh, grilled without sauce, skin not eaten","2022-10-03"
"2341447","Chicken thigh, grilled with sauce, skin eaten","2022-10-03"
"2341448","Chicken thigh, grilled with sauce, skin not eaten","2022-10-03"
"2341449","Chicken thigh, sauteed, skin eaten","2022-10-03"
"2341450","Chicken thigh, sauteed, skin not eaten","2022-10-03"
"2341451","Chicken thigh, fried, coated, skin / coating eaten, from raw","2022-10-03"
"2341452","Chicken thigh, fried, coated, skin / coating not eaten, from raw","2022-10-03"
"2341453","Chicken thigh, fried, coated, prepared skinless, coating eaten, from raw","2022-10-03"
"2341454","Chicken thigh, fried, coated, skin / coating eaten, from pre-cooked","2022-10-03"
"2341455","Chicken thigh, fried, coated, skin / coating not eaten, from pre-cooked","2022-10-03"
"2341456","Chicken thigh, fried, coated, skin / coating eaten, from fast food","2022-10-03"
"2341457","Chicken thigh, fried, coated, skin / coating not eaten, from fast food","2022-10-03"
"2341458","Chicken thigh, fried, coated, skin / coating eaten, from restaurant","2022-10-03"
"2341459","Chicken thigh, fried, coated, skin / coating not eaten, from restaurant","2022-10-03"
"2341460","Chicken thigh, baked, coated, skin / coating eaten","2022-10-03"
"2341461","Chicken thigh, baked, coated, skin / coating not eaten","2022-10-03"
"2341462","Chicken wing, NS as to cooking method","2022-10-03"
"2341463","Chicken wing, baked, broiled, or roasted, from raw","2022-10-03"
"2341464","Chicken wing, baked or broiled, from pre-cooked","2022-10-03"
"2341465","Chicken wing, baked or broiled, from fast food / restaurant","2022-10-03"
"2341466","Chicken wing, rotisserie","2022-10-03"
"2341467","Chicken wing, stewed","2022-10-03"
